year,source id,target id
2001,108040,2196
2000,7157,9710104
2001,105087,9605003
2001,105044,11121
2001,105159,8226
2001,108126,9811178
2001,102137,102016
2000,8108,9911098
2001,106194,7096
2001,105214,103108
2000,10122,6102
2000,8119,6019
2001,107061,9803205
2001,101064,12137
2000,1122,9906127
2001,101186,11289
2001,9912176,9909210
2000,9909065,9606072
2001,104099,9912249
2001,12062,9904080
2000,9808040,9608110
2000,1054,9511154
2000,3048,9409089
2001,108098,9906022
2001,111052,9910174
2001,110055,9605049
2001,108198,9910053
2000,6066,3116
2001,105168,11238
2001,102113,9244
2001,103229,5123
2000,9705217,9603056
2000,7083,9707158
2001,108057,103051
2001,107151,9802092
2000,11094,9805170
2000,3143,9608070
2001,112140,9711200
2001,105311,104045
2000,5145,9702203
2001,106094,9511205
2001,9233,5204
2001,104239,4134
2000,5279,9610128
2001,101126,9809130
2001,110098,9510101
2001,106024,9101
2001,101209,101029
2000,6101,9605180
2000,6079,9603117
2001,103081,11156
2000,10200,9802109
2001,104229,3031
2001,110115,11256
2000,2116,9911095
2000,1219,9407087
2000,8057,9912072
2000,7173,9604178
2001,107114,9407087
2001,108013,5193
2000,12154,9402155
2000,11017,6189
2000,1123,9907140
2000,7214,9310188
2000,7209,3237
2001,112045,105117
2001,108172,2145
2000,1029,9609111
2001,107151,9506098
2001,109200,9812046
2000,2244,9803069
2000,9912128,9606105
2000,3151,9805171
2000,7142,9903224
2000,2029,9712130
2001,107254,9604090
2000,10144,4134
2001,111187,9509148
2000,6152,9707063
2000,9175,9701137
2001,107035,106129
2001,12180,9903118
2000,6023,1213
2001,103131,102101
2001,105248,6070
2000,5019,9903147
2000,5148,1199
2001,6240,9805170
2001,112140,111093
2001,106249,9812067
2001,105114,2043
2000,6086,9408099
2000,9140,6085
2000,1135,9911186
2001,102002,9611050
2000,4144,1018
2000,8057,9803067
2000,9912288,9803023
2000,3119,9703031
2000,8112,9912155
2000,2094,9409089
2000,12122,9607202
2000,6009,9711200
2000,11111,9804092
2001,105160,5127
2001,105284,7051
2001,102009,7048
2001,102092,12087
2000,3129,9802203
2001,102114,9607032
2000,6193,9610043
2001,106212,9910053
2000,7212,9612188
2001,102212,9910053
2000,1142,9706078
2001,109154,9711200
2001,107096,102041
2000,12179,7243
2000,2173,9803122
2000,9139,9905174
2001,107120,9904032
2001,111006,9711162
2001,109184,9308037
2001,103196,102016
2001,110111,9912162
2000,12124,9202046
2001,105304,102202
2001,111066,9512121
2000,11002,2237
2000,9909061,9504083
2001,107234,8140
2000,8090,9802068
2001,103009,11156
2000,4126,9910174
2001,107123,9508089
2001,103110,9206007
2000,5229,9811212
2000,4133,2072
2000,6060,9902210
2000,6108,9708163
2001,106127,1192
2001,105075,104202
2000,2226,9908116
2001,105020,9607109
2000,12095,9501107
2000,9007,8035
2001,106024,1111
2001,102022,7131
2000,3226,1143
2000,11111,9905137
2000,6231,9806016
2000,10212,3079
2000,9909209,9701026
2001,109214,4196
2001,103262,9904095
2000,2065,9306002
2000,10167,9710206
2001,112107,11077
2001,106010,105059
2000,9912096,9810210
2001,112162,104247
2000,5147,9708039
2001,111211,4157
2001,101173,6132
2000,8057,7156
2000,3145,9206084
2001,110021,9506019
2000,3131,9908142
2001,103145,4151
2000,7222,9208059
2001,111260,9307183
2000,10290,5134
2000,10049,9704131
2000,9207,9510135
2000,11092,9906127
2001,111046,9906148
2000,5262,9411102
2001,101126,9610236
2000,10034,9711162
2000,7018,9906064
2001,4066,9508079
2001,105307,3215
2000,9139,9410167
2000,4101,9910093
2001,107081,9811156
2001,101110,5245
2000,5273,9912072
2000,3102,2192
2001,102120,6064
2000,3110,9606112
2000,3261,9806146
2001,106078,9061
2001,108055,9022
2001,5182,9907088
2000,7135,9812030
2001,112153,9812219
2001,106262,9712186
2000,8242,9805170
2001,101186,9908072
2001,103088,11191
2000,11044,9805064
2001,104251,9806021
2001,110030,9610043
2000,12251,9303143
2001,101125,5031
2000,7082,9905111
2001,106201,9807138
2000,9206,9407106
2000,7034,9611180
2000,5007,9810072
2001,102145,7120
2000,3187,9909140
2000,2046,9910183
2000,8164,9904063
2000,8201,9607235
2000,7039,9603133
2000,11093,9710146
2000,9906235,9410188
2001,12226,10032
2001,106209,11255
2001,109182,102112
2001,107044,11114
2001,108219,106034
2001,104202,2222
2000,9912272,9605033
2001,103220,9901101
2001,108100,9908040
2000,2174,9911218
2000,9912164,9802109
2000,4101,2072
2000,5001,2040
2000,7191,3075
2001,105218,9908160
2000,2038,9402077
2000,11197,9711108
2000,9804091,9403031
2001,103103,101162
2001,112140,106109
2001,109107,9908134
2000,9161,9808127
2001,105286,12141
2001,107036,9908135
2000,5165,9712161
2000,11190,9802042
2000,9912133,9609239
2001,103052,12013
2001,12139,9805165
2001,102095,9705074
2000,9226,9808146
2001,108052,106117
2000,7191,9503121
2000,1178,9806042
2000,1176,9309023
2000,3033,9809111
2001,107259,9510209
2000,8226,2191
2000,10007,9905157
2000,5101,9909202
2000,7047,9605001
2001,111051,9701015
2000,7170,9403040
2000,5003,9804074
2001,110274,9503124
2000,3091,9903133
2001,101013,11204
2001,109121,105085
2001,102077,9804170
2000,9187,9706195
2000,3204,9803044
2001,108113,9912106
2001,112047,8087
2001,101044,9902024
2000,12157,11079
2000,11060,9910109
2001,101091,1211
2001,110229,9901035
2001,111166,11234
2000,11253,9712039
2001,112145,9607019
2000,10055,9612182
2001,105227,2223
2000,7170,9507160
2000,8058,9809027
2001,105264,9911116
2001,105215,9507026
2001,105254,9811172
2000,9049,4177
2001,103214,9902075
2000,9019,9910053
2001,108044,9812193
2001,101079,1129
2001,110244,9811178
2001,111110,107039
2001,112043,9905087
2000,2222,9606112
2001,112101,9803194
2001,106081,9911253
2000,8084,9711200
2001,111059,9910004
2000,6023,5047
2001,112049,106180
2000,2016,9612115
2000,9098,9912072
2001,107152,101135
2000,11288,11190
2001,107032,9810215
2000,11151,9905204
2001,111082,3136
2000,2098,9802150
2000,5178,2067
2000,7097,5029
2001,102174,9208027
2001,12249,8050
2001,109091,5006
2000,11254,9809147
2000,1027,9908038
2000,3203,9807098
2001,105059,103102
2000,1094,9601116
2001,104082,9602064
2000,3200,9904200
2001,101143,11192
2001,110111,9906064
2000,4037,9601177
2001,109162,12266
2001,102085,12222
2001,108229,104037
2000,9183,9905096
2001,105232,9605018
2000,9912036,9802068
2001,111182,110265
2000,5230,9802150
2001,106266,9808075
2000,7100,9612148
2000,8090,9910091
2000,12073,10215
2001,105246,9811237
2000,7140,5006
2001,107098,106231
2001,109162,9812180
2000,2222,9412236
2000,3119,9806125
2001,101091,9906064
2000,11073,9606139
2000,10143,9707093
2000,5090,9712130
2001,109102,102212
2000,9912208,9811240
2000,11110,1112
2000,2025,9811257
2000,11125,9711162
2001,109111,106048
2001,108172,103240
2001,101102,9911087
2000,7030,9602115
2000,6198,9607110
2000,8101,2117
2001,105154,10016
2000,9911034,9510129
2000,3122,9908142
2000,8058,9812073
2000,9188,9212110
2001,107156,9905111
2001,109183,9811232
2000,8203,9409089
2001,109162,2075
2001,108205,12034
2001,104048,9506035
2001,112195,9912271
2001,105166,9803067
2001,107177,9808014
2000,8068,2090
2000,9166,9502141
2001,110127,9910101
2001,108043,8046
2001,102024,9709034
2000,3177,9308154
2001,104037,9509162
2001,102114,9707203
2001,11182,8081
2000,5105,9904207
2000,9909218,9907157
2001,102078,9305174
2000,9912209,9806217
2000,7248,10148
2000,5192,9407190
2000,4183,9602055
2001,102007,9711162
2000,12022,9706021
2000,7018,9611230
2001,102033,9706141
2000,9141,6023
2001,9223,9211054
2000,6054,9211021
2001,106249,9703191
2001,104046,9503124
2000,11179,9808075
2001,12145,5174
2001,105078,9405034
2000,10022,9812149
2001,110076,9907180
2001,110232,108219
2000,5134,9802150
2000,9171,9809164
2001,108050,9201021
2000,4040,9802183
2001,107086,11138
2001,109215,9509022
2000,9032,9906064
2001,101060,9803235
2001,101126,9703218
2001,102169,9903156
2001,104049,9911043
2000,4048,9412092
2001,11241,3007
2001,12049,8216
2001,105263,9901078
2001,106249,103230
2001,103169,9905111
2000,10196,9406055
2001,104230,2237
2000,9251,9510209
2001,110090,106136
2000,1024,9905217
2001,110021,9907027
2000,7195,9309145
2000,2245,9604027
2001,105277,5265
2001,6134,9903225
2001,110214,2159
2001,111277,7065
2001,110191,102157
2001,106127,106112
2001,8205,9908142
2001,106257,9911066
2000,10155,9805152
2001,105115,2223
2000,10122,9711162
2001,105216,9907131
2000,2158,9707190
2001,111238,9905177
2001,103124,9904095
2000,2067,9910004
2000,1001,9705044
2000,5127,3286
2000,3200,9903205
2000,2154,9912210
2001,9224,9701137
2001,101126,9707217
2001,107226,6018
2001,107105,9211071
2001,111238,106247
2000,9247,5067
2000,2006,9710046
2000,2218,9904100
2000,2130,9909205
2000,2009,9712148
2001,110252,9806024
2001,107153,9805168
2001,102071,9246
2001,102056,7052
2000,4159,9711162
2001,104134,9908174
2001,105242,3160
2000,9124,9911063
2000,1093,9801182
2000,9152,9205043
2001,9906228,9707083
2001,107072,9611230
2001,111171,9511101
2000,9906006,9804096
2001,107089,9505061
2001,101036,9306148
2000,2016,9710178
2001,108075,2211
2001,112063,6023
2001,107132,9712251
2000,8200,9904159
2000,10069,9802109
2000,10169,5021
2001,101020,9601038
2000,3095,1046
2001,101122,9912067
2001,103021,12198
2000,5226,2091
2000,12079,2037
2001,101126,9708119
2000,8002,9803031
2001,104169,9805143
2000,11175,3121
2000,3254,9405135
2001,111290,9809192
2000,5132,9809182
2000,1201,9503099
2001,110265,110108
2000,7009,9809164
2000,11148,9507109
2000,2103,9605184
2000,2106,9711200
2000,8214,9711162
2000,12169,9507022
2000,7106,9909085
2000,2003,9905079
2001,104209,9701166
2000,10046,5033
2001,109092,9906221
2000,9209,6168
2000,9214,9701137
2000,1083,9803265
2000,6248,9411238
2001,107166,9907086
2000,9061,6240
2001,8205,9705057
2000,4098,9703101
2001,104169,9401139
2001,105283,9909149
2000,2230,9911230
2001,107067,9608174
2000,8012,7120
2001,103094,12172
2001,109107,9141
2000,8047,9509140
2000,8030,9812172
2000,8035,9912268
2000,9911095,9510017
2000,10067,1129
2001,101155,12185
2001,112140,4126
2000,1049,9904201
2001,102022,3113
2001,110238,109017
2001,111221,9909030
2001,107119,6239
2001,11223,8064
2001,112151,101029
2001,110046,107110
2001,105049,8142
2001,108027,9603149
2000,6235,6209
2000,12024,9903077
2001,103198,3011
2000,3121,9612146
2001,110182,9505161
2001,101126,9810224
2000,9909209,9804042
2001,110055,9908072
2001,102107,9812208
2000,7049,9407190
2000,3050,9805112
2000,5210,9207084
2000,4187,9808149
2001,111209,9705037
2001,106114,10189
2000,12102,3052
2001,107204,9706089
2000,1076,9703030
2000,5268,9806240
2001,111186,9709165
2001,107110,9610043
2001,110171,104037
2001,105006,9711081
2001,108103,9908019
2000,10023,9903056
2000,5098,3136
2000,7170,9503124
2001,107024,9505157
2000,11192,9042
2001,102007,9043
2001,11166,9911161
2001,108161,9812239
2001,105089,3227
2001,11272,9711037
2001,12213,9508155
2001,110055,9308124
2001,101114,9804160
2000,6122,9908060
2001,103178,9910160
2000,5139,9806022
2000,7090,9703075
2000,5133,9412018
2001,101042,9905196
2001,108145,9712086
2001,103117,11192
2001,104243,5031
2001,111216,12003
2001,111036,103191
2000,5176,4198
2001,104050,6137
2001,111050,9807040
2000,12156,9606169
2000,5246,9702163
2000,4148,9711200
2000,3227,9612126
2001,107163,9607235
2000,1129,9807215
2000,7145,9912188
2001,110178,9711112
2000,6014,9909061
2000,4180,9309039
2000,6131,9612017
2000,3208,9708123
2001,112071,9901045
2000,9812021,9603150
2001,12057,1014
2001,101113,9904137
2001,104021,9909176
2001,103077,7025
2001,104082,10170
2000,101005,9608144
2000,10267,9607220
2000,12164,3110
2001,107075,9148
2001,107265,3037
2001,102202,9909172
2000,5028,9806199
2001,104044,10192
2001,105156,9707051
2000,7087,9605184
2001,103239,5121
2000,8090,2186
2000,3210,9605099
2000,8252,3101
2001,112059,10076
2001,108059,9712232
2000,4090,9806042
2000,4068,9711081
2000,6069,9910149
2000,8054,9509132
2001,10088,9909058
2001,104238,9603087
2001,107067,106113
2000,2085,9606034
2000,11016,6037
2000,7214,9508175
2001,108075,9912244
2000,5277,9302023
2000,10242,9611159
2001,110135,8252
2000,5007,9802109
2000,9912066,9805110
2000,2194,9908105
2001,12174,12166
2000,3174,2092
2001,102099,9802194
2000,12065,9908134
2000,3200,9911068
2001,112059,2191
2000,2154,2116
2001,112045,110031
2001,110161,9802150
2001,111258,9610220
2001,107038,9503148
2000,8057,2143
2000,9908189,9711200
2001,103162,102105
2001,108101,8142
2001,5125,9803133
2000,9021,9908142
2001,105256,12102
2000,3113,9912072
2000,2189,9711200
2001,105101,9712028
2001,110184,9903031
2001,110118,9906064
2001,103148,9711078
2000,7031,9410167
2001,11241,9903107
2000,2184,9803116
2000,7131,9912072
2000,12179,12089
2000,5067,9512155
2001,107208,102040
2000,4127,1027
2000,7248,9608048
2000,2149,208020
2001,102138,101076
2000,7109,9905075
2001,109048,9405004
2001,102104,9510023
2000,3071,9307049
2000,12118,9903113
2001,111151,108100
2000,8019,9802085
2001,111055,9902058
2001,111096,9811045
2000,9912015,9707016
2000,5076,9509176
2000,9912155,9308121
2000,11110,9906022
2001,102031,9812028
2001,108156,107233
2000,7007,9904056
2001,106241,9906064
2000,6043,9906064
2001,106051,7044
2000,9082,5040
2000,11060,5029
2000,11208,9202072
2001,105288,9606118
2000,3098,9908140
2000,1185,9307166
2001,107222,9804023
2000,8206,9810155
2000,6033,9908064
2000,10265,9805175
2001,106201,105110
2001,106266,106034
2000,10251,5031
2001,110055,9402002
2000,4078,9703121
2000,7204,9903205
2001,101042,9906064
2001,108016,12193
2000,5151,9708025
2001,12165,5230
2000,12181,9903258
2000,7184,9612128
2000,11234,9511188
2001,103159,9610043
2001,110302,9803249
2001,112120,9303068
2000,5135,9910110
2001,110158,9909140
2001,106124,9510149
2000,6023,2198
2001,107116,9507143
2001,106247,9705138
2000,9252,3101
2001,103146,1143
2000,9912118,9906064
2000,10095,9705129
2000,3007,2084
2000,1167,9908142
2001,108233,9510135
2001,110119,7170
2000,7240,9505006
2001,102041,9709146
2001,108006,9803137
2001,11147,9612120
2000,10218,9908142
2000,9912043,9705056
2001,111182,9906022
2001,5276,9610162
2000,9142,7247
2000,11092,5250
2000,8223,9809215
2000,1192,9909048
2000,2172,9708042
2000,3177,9303038
2000,3050,9912257
2001,105059,104090
2001,107055,9911098
2000,11125,9902101
2001,103015,9611159
2001,105070,11115
2000,11283,9038
2000,7240,9508053
2000,10058,9805170
2001,104061,9103
2000,9912192,9807111
2001,109065,5223
2001,107119,8088
2001,108103,5129
2001,104236,9610249
2000,10292,9910056
2000,5199,9908142
2000,4030,9905111
2000,8030,5129
2001,108179,9905165
2001,104176,10173
2001,107111,9911039
2001,105271,9912072
2001,101125,8013
2000,9198,9802109
2000,10287,9910218
2001,109162,110113
2000,7211,4179
2001,105182,4126
2001,11127,9909056
2000,1174,9412228
2001,102158,6091
2001,101179,9711205
2001,102031,9901001
2000,9911095,9803002
2001,104169,9907166
2001,101029,12184
2000,11193,10010
2001,110223,9807153
2000,11148,9912188
2001,103090,12072
2000,1106,9801183
2000,2138,9711165
2000,1177,9903190
2001,10113,2236
2000,1212,9806091
2001,104238,9906179
2000,3290,9707041
2001,102200,9910053
2001,11251,4021
2001,101126,9709044
2001,110084,9905174
2001,109082,9802183
2001,110286,4067
2001,106013,9812161
2000,11260,9210115
2000,5225,9402007
2000,6056,9711165
2000,9912056,9906061
2000,12136,11089
2000,6090,9907014
2001,101231,9510001
2000,9907003,9902195
2001,105085,9711165
2001,9233,8075
2001,107082,1185
2001,111061,102201
2000,6028,9710123
2001,101061,9906064
2001,12174,9412140
2000,5208,9912094
2001,10113,9411238
2001,111155,106079
2000,11245,9812163
2000,9009,9806099
2001,107138,9911190
2000,8211,6037
2001,106232,9908142
2001,105320,12100
2000,2021,9802150
2000,7120,7018
2000,5204,9912047
2001,103255,3011
2001,110173,9612087
2000,1023,9910131
2000,3243,9805185
2000,3231,9809121
2001,107022,9705200
2000,5204,5048
2001,110170,108196
2001,107172,9909214
2000,7089,9908142
2000,2174,9711200
2000,11107,10223
2000,9095,9901077
2000,7250,9911096
2000,9017,9605174
2001,107108,9803235
2001,111150,9905163
2001,109186,106181
2001,11211,4076
2001,109006,9707101
2000,10021,3160
2000,11080,9908056
2000,9213,7226
2001,103126,9702089
2001,9223,9511020
2000,2161,2072
2001,103106,9711200
2000,6204,9505162
2001,111238,9910219
2000,9910001,9812239
2001,102182,101093
2001,109054,9808139
2001,111229,12011
2001,108172,102113
2000,9087,3046
2000,9032,9907209
2000,10013,9804015
2000,8224,9803001
2000,10279,9603097
2001,112125,9601116
2001,104115,8099
2001,102173,9709027
2001,102140,9507020
2000,1056,9912012
2000,9237,9910190
2001,106264,9807024
2000,7051,5147
2001,111073,6108
2001,12194,9047
2000,9911253,9803231
2001,104163,9701054
2001,106281,5129
2001,106112,9805171
2000,3086,9064
2000,1001,9609071
2001,105177,3217
2001,101007,1159
2001,110134,104217
2001,112037,9903033
2000,2016,9803265
2000,7031,9705005
2001,110125,103063
2001,107251,7140
2000,8030,9805034
2001,107215,6062
2001,108075,7170
2000,5096,9312214
2000,12004,7119
2001,111093,11115
2000,7130,5129
2001,108228,9711162
2000,7026,9510017
2000,8047,7099
2000,3173,3037
2001,106013,3100
2001,11220,2027
2001,111258,9307155
2000,3109,2091
2000,1169,9611008
2000,9174,1089
2000,12141,9711162
2001,101126,9808188
2001,103242,9809095
2001,106201,105244
2000,1208,9610162
2000,3261,1010
2001,107155,9711162
2000,9167,8112
2000,10087,9904054
2000,10058,9908142
2001,103084,9610140
2000,5031,9709014
2001,109164,11017
2001,108187,2094
2000,3185,9410212
2001,104230,9303067
2001,107252,9911066
2000,2222,9304026
2000,8033,3221
2001,105221,9196
2001,11149,9805065
2001,111248,9803170
2000,6232,2147
2001,101073,9905177
2001,112195,6060
2000,9912195,9712144
2001,104163,9510182
2001,106048,9801147
2001,103220,9802109
2000,1213,9912288
2000,3184,9710248
2000,8089,9901146
2000,7007,9806194
2000,10181,9303143
2000,1087,9907217
2000,9912250,9802150
2000,10170,9710218
2001,105040,9505064
2000,10058,9612115
2001,109032,105238
2000,11095,9509151
2000,3178,9303016
2001,109214,108064
2001,110054,2196
2001,104105,9508072
2001,11232,9903153
2000,12154,9608071
2001,101044,9309025
2001,101130,9911087
2001,101026,9905111
2001,101123,9808069
2000,3129,9907166
2001,105138,11066
2001,103170,10281
2000,8088,8016
2001,12143,9906064
2001,103093,9308075
2001,102155,9606185
2000,11281,9602070
2001,102061,9811052
2000,5075,9805155
2001,108053,6121
2000,9117,8128
2001,109186,101209
2000,9026,3011
2001,112038,9901073
2001,102146,10223
2001,103106,9906064
2001,110267,9909163
2000,11144,8133
2000,11107,9506064
2001,107081,9909010
2000,8211,9910040
2001,107086,6093
2000,11048,9912108
2000,5198,9603133
2001,110161,9802042
2001,111151,9904207
2001,12021,3120
2000,7061,9907085
2000,6041,9803131
2000,10109,9607188
2000,10045,5029
2000,12054,9612157
2001,11029,9810188
2001,106075,5241
2001,106214,106088
2001,104185,12073
2001,102062,7223
2001,105075,9608086
2001,105078,9606066
2001,2209,9802150
2001,104031,9811022
2000,9187,9912155
2000,9051,9905111
2000,1025,9301042
2000,11131,9612157
2000,3059,9907126
2000,10097,9204072
2001,101122,9611205
2000,3029,9810019
2000,6024,3075
2000,7075,9506064
2001,101126,9712238
2001,108098,9902173
2000,9109,9312206
2000,7052,6112
2000,8236,9805088
2001,103071,1206
2000,12065,3055
2000,6033,9906234
2000,2025,9911222
2001,10154,9702093
2001,11251,9811004
2000,7048,9811244
2001,110238,9909203
2001,108198,9712185
2000,10190,10034
2001,103192,9711081
2000,10191,9405029
2001,11083,9906166
2001,105160,104159
2001,106015,9803001
2000,11032,9507006
2001,108125,9908056
2000,9009,9301052
2000,7073,9711155
2001,111059,9309028
2001,108011,9905042
2000,3240,9611050
2000,9051,9905227
2001,106128,3237
2000,5158,1151
2000,7056,9601150
2001,105191,9906192
2000,4155,1183
2000,5213,9711002
2001,102146,9706110
2000,3139,9504081
2001,108102,101151
2000,10222,1025
2000,4074,4075
2001,102064,9802150
2000,5130,9810006
2001,105052,10252
2001,101114,9811064
2001,102085,9038
2000,9912287,9911230
2000,3200,9702203
2000,11093,9902205
2000,5127,9909053
2001,111001,9704179
2001,106052,9301074
2001,110225,3086
2001,101045,9908056
2000,12137,2223
2000,1121,9408149
2000,6204,9904054
2001,109107,5073
2001,103179,102181
2000,3164,9402119
2000,7174,4100
2001,110216,11023
2000,4063,9407087
2000,8227,2117
2000,6232,4097
2000,3242,9304026
2000,7024,9801002
2001,111195,108039
2001,105117,10004
2000,5160,9911113
2000,3118,9912135
2001,110209,9910155
2001,108125,9711162
2000,5174,9702099
2000,9912183,9601143
2001,102158,9907166
2000,6007,5239
2000,9127,5217
2000,2152,9711200
2001,9233,4115
2000,12033,9912186
2001,106196,10204
2000,9912209,9905227
2000,10028,9912254
2001,105019,9811192
2000,1083,9804176
2001,102044,9912072
2000,1055,9711200
2000,1083,9603167
2001,110218,103014
2001,108101,9803002
2001,107011,1033
2000,6030,9909134
2000,11019,4013
2000,9141,7147
2000,1055,9910145
2001,105076,11009
2000,11197,9701069
2001,108207,11079
2001,102063,9909176
2001,110008,9804085
2000,3145,2067
2000,2160,9403198
2001,112096,110098
2000,11226,3122
2001,108094,9503124
2001,104037,9805172
2001,102164,3145
2000,8169,9902188
2000,10281,9912067
2000,11162,6177
2001,101021,9810192
2001,108092,101083
2001,106160,9906194
2001,102010,11060
2001,104021,101016
2001,109204,8118
2000,7125,9807166
2001,108172,9905046
2001,109058,107203
2001,104170,9405143
2001,105032,10108
2001,110085,2159
2001,12165,9908116
2000,10171,8050
2000,3075,2186
2001,102087,9907081
2000,3230,9512059
2000,7147,5073
2000,7140,9910135
2001,9055,9705141
2001,104155,9804006
2000,11043,9501024
2000,1172,9409108
2000,7041,9905111
2000,8186,5268
2000,8130,4097
2001,111231,9411149
2001,108109,1113
2001,12180,9510225
2000,7107,9909202
2001,110277,102128
2001,110133,9712257
2001,104260,5157
2000,5166,9610140
2000,5154,9912020
2000,6101,9906152
2001,106053,9405005
2001,105021,9504019
2001,110025,9503124
